SESSION 2759114

(3.8, 4.3, -16.5)

(3.4, 4.3, -16.6)

(3.0, 4.3, -16.6)

(2.7, 4.3, -16.6)

(2.3, 4.3, -16.5)

(1.9, 4.3, -16.5)

(1.5, 4.3, -16.4)

(1.2, 4.3, -16.3)

(0.8, 4.3, -16.1)

(0.5, 4.3, -15.9)

(0.1, 4.3, -15.7)

(-0.3, 4.3, -15.4)

(-0.6, 4.3, -15.1)

(-0.8, 4.3, -14.8)

(-1.1, 4.3, -14.6)

(-1.3, 4.3, -14.5)

(-1.5, 4.3, -14.4)

(-1.5, 4.3, -14.3)

(-1.5, 4.3, -14.3)

(-1.5, 4.3, -14.3)

(-1.5, 4.3, -14.3)

(-1.5, 4.3, -14.3)

(-1.5, 4.3, -14.3)

(-1.5, 4.3, -14.3)

(-1.5, 4.3, -14.3)

(-1.5, 4.3, -14.3)

(-1.5, 4.3, -14.3)

(-1.5, 4.3, -14.3)

(-1.5, 4.3, -14.3)

(-1.5, 4.3, -14.3)

(-1.5, 4.3, -14.3)

(-1.5, 4.3, -14.3)

(-1.5, 4.3, -14.3)

(-1.5, 4.3, -14.3)

(-1.5, 4.3, -14.3)

(-1.5, 4.3, -14.3)

(-1.5, 4.3, -14.3)

(-1.5, 4.3, -14.3)

(-1.5, 4.3, -14.3)

(-1.5, 4.3, -14.3)

(-1.5, 4.3, -14.3)

(-1.5, 4.3, -14.3)

(-1.5, 4.3, -14.3)

(-1.5, 4.3, -14.3)

(-1.5, 4.3, -14.3)

(-1.5, 4.3, -14.3)

(-1.5, 4.3, -14.3)

(-1.5, 4.3, -14.3)

(-1.5, 4.3, -14.3)

(-1.5, 4.3, -14.3)

(-1.5, 4.3, -14.3)

(-1.5, 4.3, -14.3)

(-1.5, 4.3, -14.3)

(-1.5, 4.3, -14.3)

(-1.5, 4.3, -14.3)

(-1.5, 4.3, -14.3)

(-1.5, 4.3, -14.3)

(-1.5, 4.3, -14.3)

(-1.5, 4.3, -14.3)

(-1.5, 4.3, -14.3)

(-1.5, 4.3, -14.3)

(-1.5, 4.3, -14.3)

(-1.5, 4.3, -14.3)

(-1.5, 4.3, -14.3)

SESSION 3630718

(8.0, 4.3, 3.9)

(8.0, 4.3, 3.9)

(8.0, 4.3, 3.9)

(8.0, 4.3, 3.9)

(8.0, 4.3, 3.9)

(8.0, 4.3, 3.9)

(8.0, 4.3, 3.9)

(8.0, 4.3, 3.9)

(8.0, 4.3, 3.9)

(8.0, 4.3, 3.9)

(8.0, 4.3, 3.9)

(8.0, 4.3, 3.9)

(8.0, 4.3, 3.9)

(8.0, 4.3, 3.9)

(8.0, 4.3, 3.9)

(8.0, 4.3, 3.9)

(7.7, 4.3, 3.9)

(7.4, 4.3, 4.0)

(7.0, 4.3, 4.0)

(6.6, 4.3, 4.1)

(6.2, 4.3, 4.2)

(5.9, 4.3, 4.4)

(5.5, 4.3, 4.6)

(5.2, 4.3, 4.7)

(4.9, 4.3, 4.7)

(4.5, 4.3, 4.7)

(4.2, 4.3, 4.6)

(3.8, 4.3, 4.6)

(3.4, 4.3, 4.5)

(3.1, 4.3, 4.5)

(2.8, 4.3, 4.5)

(2.3, 4.3, 4.4)

(2.0, 4.3, 4.4)

(1.7, 4.3, 4.3)

(1.3, 4.3, 4.3)

(0.9, 4.3, 4.2)

(0.6, 4.3, 4.2)

(0.2, 4.3, 4.1)

(-0.1, 4.3, 4.1)

(-0.5, 4.3, 4.1)

(-0.9, 4.3, 4.0)

(-1.3, 4.3, 4.0)

(-1.6, 4.3, 3.9)

(-2.0, 4.3, 3.9)

(-2.3, 4.3, 3.8)

(-2.7, 4.3, 3.8)

(-3.1, 4.3, 3.7)

(-3.5, 4.3, 3.7)

(-3.8, 4.3, 3.6)

(-4.1, 4.3, 3.6)

(-4.6, 4.3, 3.5)

(-4.9, 4.3, 3.5)

(-5.2, 4.3, 3.5)

(-5.6, 4.3, 3.4)

(-6.0, 4.3, 3.3)

(-6.4, 4.3, 3.1)

(-6.7, 4.3, 2.8)

(-7.0, 4.3, 2.6)

(-7.3, 4.3, 2.5)

(-7.7, 4.3, 2.4)

(-8.1, 4.3, 2.2)

(-8.5, 4.3, 2.1)

(-8.8, 4.3, 2.0)

(-9.2, 4.3, 1.9)

(-9.6, 4.3, 1.8)

(-9.9, 4.3, 1.7)

(-10.3, 4.3, 1.5)

(-10.6, 4.3, 1.3)

(-10.9, 4.3, 1.0)

(-11.2, 4.3, 0.8)

(-11.5, 4.3, 0.6)

(-11.9, 4.3, 0.4)

(-12.2, 4.3, 0.3)

(-12.5, 4.3, 0.2)

(-12.7, 4.3, 0.1)

(-12.7, 4.3, 0.0)

(-12.8, 4.3, 0.0)

(-12.8, 4.3, 0.0)

(-12.8, 4.3, 0.0)

(-12.8, 4.3, 0.0)

(-12.8, 4.3, 0.0)

(-12.8, 4.3, 0.0)

(-12.8, 4.3, 0.0)

(-12.8, 4.3, 0.0)

(-12.8, 4.3, 0.0)

(-12.8, 4.3, 0.0)

(-12.8, 4.3, 0.0)

(-12.8, 4.3, 0.0)

(-12.8, 4.3, 0.0)

(-12.8, 4.3, 0.0)

(-12.8, 4.3, 0.0)

(-12.8, 4.3, 0.0)

(-12.8, 4.3, 0.0)

(-12.8, 4.3, 0.0)

(-12.8, 4.3, 0.0)

(-12.8, 4.3, 0.0)

(-12.8, 4.3, 0.0)

(-12.8, 4.3, 0.0)

(-12.8, 4.3, 0.0)

(-12.8, 4.3, 0.0)

(-12.8, 4.3, 0.0)

(-12.8, 4.3, 0.0)

(-12.8, 4.3, 0.0)

(-12.9, 4.3, -0.3)

(-13.0, 4.3, -0.7)

(-13.1, 4.3, -1.1)

(-13.1, 4.3, -1.5)

(-13.1, 4.3, -1.9)

(-13.1, 4.3, -2.2)

(-13.1, 4.3, -2.6)

(-13.0, 4.3, -3.0)

(-12.9, 4.3, -3.5)

(-13.0, 4.3, -3.8)

(-13.2, 4.3, -4.1)

(-13.6, 4.3, -4.2)

(-13.9, 4.3, -4.4)

(-14.3, 4.3, -4.5)

(-14.7, 4.3, -4.5)

(-15.1, 4.3, -4.6)

(-15.5, 4.3, -4.6)

(-15.9, 4.3, -4.5)

(-16.3, 4.3, -4.4)

(-16.7, 4.3, -4.4)

(-17.0, 4.3, -4.7)

(-17.3, 4.3, -5.0)

(-17.6, 4.3, -5.2)

(-17.9, 4.3, -5.4)

(-18.3, 4.3, -5.6)

(-18.6, 4.3, -5.8)

(-19.0, 4.3, -6.0)

(-19.3, 4.3, -6.1)

(-19.7, 4.3, -6.1)

(-19.9, 4.3, -5.9)

(-20.0, 4.3, -5.8)

(-19.8, 4.3, -5.7)

(-19.6, 4.3, -5.5)

(-19.4, 4.3, -5.4)

(-19.4, 4.3, -5.4)

(-19.4, 4.3, -5.4)

(-19.4, 4.3, -5.4)

(-19.4, 4.3, -5.4)

(-19.4, 4.3, -5.4)

(-19.4, 4.3, -5.4)

(-19.4, 4.3, -5.4)

(-19.4, 4.3, -5.4)

(-19.4, 4.3, -5.4)

(-19.4, 4.3, -5.4)

(-19.4, 4.3, -5.4)

(-19.4, 4.3, -5.4)

(-19.4, 4.3, -5.4)

(-19.4, 4.3, -5.4)

(-19.4, 4.3, -5.4)

(-19.4, 4.3, -5.4)

(-19.4, 4.3, -5.4)

(-19.4, 4.3, -5.4)

(-19.3, 4.3, -5.3)

(-19.0, 4.3, -5.2)

(-18.6, 4.3, -5.1)

(-18.4, 4.3, -5.0)

(-18.3, 4.3, -5.0)

(-18.3, 4.3, -5.0)

(-18.3, 4.3, -5.0)

(-18.3, 4.3, -5.0)

